ticker;date;open;low;high;close
RGBITR;2018-12-26;473.81;473.81;474.5;474.22
RGBITR;2018-12-27;474.59;474.59;475.42;475.42
RGBITR;2018-12-28;476.01;475.68;476.54;475.83
RGBITR;2018-12-29;475.94;475.94;476.66;476.39
RGBITR;2019-01-03;476.87;476.87;477.7;477.22
RGBITR;2019-01-04;477.29;477.2;477.76;477.72
RGBITR;2019-01-08;478.12;478.01;478.39;478.35
RGBITR;2019-01-09;478.5;478.23;480.83;480.81
RGBITR;2019-01-10;480.96;480.95;481.85;481.85
RGBITR;2019-01-11;481.96;481.92;483.4;483.36
RGBITR;2019-01-14;483.69;482.87;483.69;483.2
RGBITR;2019-01-15;483.32;483.32;484.5;484.49
RGBITR;2019-01-16;484.65;484.65;485.87;485.86
RGBITR;2019-01-17;485.97;485.28;486.19;485.28
RGBITR;2019-01-18;485.38;485.22;485.66;485.66
RGBITR;2019-01-21;485.88;485.88;486.26;486.16
RGBITR;2019-01-22;486.25;485.59;486.45;485.63
RGBITR;2019-01-23;485.78;485.62;486.35;485.64
RGBITR;2019-01-24;485.75;485.75;486.36;486.36
RGBITR;2019-01-25;486.52;486.34;486.81;486.34
RGBITR;2019-01-28;486.61;486.17;486.61;486.2
RGBITR;2019-01-29;486.28;485.57;486.53;485.67
RGBITR;2019-01-30;485.71;485.71;486.47;486.47
RGBITR;2019-01-31;486.57;486.55;489.53;489.52
RGBITR;2019-02-01;489.37;489.37;489.81;489.52
RGBITR;2019-02-04;489.81;489.47;490.43;489.57
RGBITR;2019-02-05;489.66;489.45;490.17;490.15
RGBITR;2019-02-06;490.23;490.23;490.87;490.49
RGBITR;2019-02-07;490.6;489.59;490.63;489.59
RGBITR;2019-02-08;489.68;489.18;489.71;489.6
RGBITR;2019-02-11;489.93;489.93;490.95;489.97
RGBITR;2019-02-12;489.94;489.16;489.95;489.37
RGBITR;2019-02-13;489.48;488.78;489.6;488.78
RGBITR;2019-02-14;488.53;484.72;488.53;485.28
RGBITR;2019-02-15;485.33;485.12;487.44;487.42
RGBITR;2019-02-18;487.72;487.62;488.48;488.15
RGBITR;2019-02-19;488.6;487.65;488.79;487.65
RGBITR;2019-02-20;487.76;487.37;487.92;487.46
RGBITR;2019-02-21;487.57;487.53;488.25;488.1
RGBITR;2019-02-22;488.21;488.07;488.41;488.33
RGBITR;2019-02-25;488.63;488.58;489.6;489.58
RGBITR;2019-02-26;489.66;489.09;489.72;489.09
RGBITR;2019-02-27;489.17;488.67;489.2;488.67
RGBITR;2019-02-28;488.45;488.28;489.05;489.04
RGBITR;2019-03-01;489.18;489.18;489.82;489.82
